
========== Periférico Metropolitano ==========

========== Carretera Nacional ==========
Minuto   1 | Carretera Nacional | Tráfico:   1 veh/min | Variación:  -7 | Estado: Fluido
Minuto   1 | Periférico Metropolitano | Tráfico:  10 veh/min | Variación:  +0 | Estado: Fluido

========== Avenida Central ==========
Minuto   1 | Avenida Central | Tráfico:   2 veh/min | Variación:  -3 | Estado: Fluido
Minuto   2 | Periférico Metropolitano | Tráfico:  15 veh/min | Variación:  +5 | Estado: Fluido
Minuto   2 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -2 | Estado: Fluido
Minuto   2 | Avenida Central | Tráfico:   8 veh/min | Variación:  +6 | Estado: Fluido
Minuto   3 | Avenida Central | Tráfico:   9 veh/min | Variación:  +1 | Estado: Fluido
Minuto   3 | Carretera Nacional | Tráfico:   5 veh/min | Variación:  +5 | Estado: Fluido
Minuto   3 | Periférico Metropolitano | Tráfico:  11 veh/min | Variación:  -4 | Estado: Fluido
Minuto   4 | Carretera Nacional | Tráfico:   1 veh/min | Variación:  -4 | Estado: Fluido
Minuto   4 | Periférico Metropolitano | Tráfico:  14 veh/min | Variación:  +3 | Estado: Fluido
Minuto   4 | Avenida Central | Tráfico:   5 veh/min | Variación:  -4 | Estado: Fluido
Minuto   5 | Avenida Central | Tráfico:   1 veh/min | Variación:  -4 | Estado: Fluido
Minuto   5 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -6 | Estado: Fluido
Minuto   5 | Periférico Metropolitano | Tráfico:  22 veh/min | Variación:  +8 | Estado: Moderado
Minuto   6 | Carretera Nacional | Tráfico:   1 veh/min | Variación:  +1 | Estado: Fluido
Minuto   6 | Avenida Central | Tráfico:   0 veh/min | Variación:  -6 | Estado: Fluido
Minuto   6 | Periférico Metropolitano | Tráfico:  27 veh/min | Variación:  +5 | Estado: Moderado
Minuto   7 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -4 | Estado: Fluido
Minuto   7 | Periférico Metropolitano | Tráfico:  23 veh/min | Variación:  -4 | Estado: Moderado
Minuto   7 | Avenida Central | Tráfico:   1 veh/min | Variación:  +1 | Estado: Fluido
Minuto   8 | Carretera Nacional | Tráfico:   6 veh/min | Variación:  +6 | Estado: Fluido
Minuto   8 | Avenida Central | Tráfico:   0 veh/min | Variación:  -7 | Estado: Fluido
Minuto   8 | Periférico Metropolitano | Tráfico:  16 veh/min | Variación:  -7 | Estado: Fluido
Minuto   9 | Periférico Metropolitano | Tráfico:  17 veh/min | Variación:  +1 | Estado: Fluido
Minuto   9 | Avenida Central | Tráfico:   0 veh/min | Variación:  +0 | Estado: Fluido
Minuto   9 | Carretera Nacional | Tráfico:   2 veh/min | Variación:  -4 | Estado: Fluido
Minuto  10 | Carretera Nacional | Tráfico:   4 veh/min | Variación:  +2 | Estado: Fluido
Minuto  10 | Periférico Metropolitano | Tráfico:  25 veh/min | Variación:  +8 | Estado: Moderado
Minuto  10 | Avenida Central | Tráfico:   8 veh/min | Variación:  +8 | Estado: Fluido
Minuto  11 | Periférico Metropolitano | Tráfico:  27 veh/min | Variación:  +2 | Estado: Moderado
Minuto  11 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -6 | Estado: Fluido
Minuto  11 | Avenida Central | Tráfico:  12 veh/min | Variación:  +4 | Estado: Fluido
Minuto  12 | Periférico Metropolitano | Tráfico:  23 veh/min | Variación:  -4 | Estado: Moderado
Minuto  12 | Carretera Nacional | Tráfico:   3 veh/min | Variación:  +3 | Estado: Fluido
Minuto  12 | Avenida Central | Tráfico:   9 veh/min | Variación:  -3 | Estado: Fluido
Minuto  13 | Avenida Central | Tráfico:  13 veh/min | Variación:  +4 | Estado: Fluido
Minuto  13 | Periférico Metropolitano | Tráfico:  15 veh/min | Variación:  -8 | Estado: Fluido
Minuto  13 | Carretera Nacional | Tráfico:   6 veh/min | Variación:  +3 | Estado: Fluido
Minuto  14 | Periférico Metropolitano | Tráfico:  23 veh/min | Variación:  +8 | Estado: Moderado
